peopleCd,peopleNm,peopleNmEn,repRoleNm,filmoNames
20395989,김정연,,배우,착한 아이 사탕이|제6회 김포국제청소년영화제	 폐막작
20392256,김수진,,배우,달짝지근해: 7510|브릿지
20395987,아디나 바잔,Adina BAZHAN,배우,다우렌의 결혼
20331052,이은미,LEE Eun-mi,배우,거짓말의 색은 노랑|블라인드|보속|내 동생|시선|타래 |목격담|김다육
20395962,정다민,JUNG Da-min,배우,수학영재 형주
20334078,최성은,CHOI Sung-eun,배우,힘을 낼 시간|젠틀맨|십개월의 미래 |친척동생|우주인 조안|시동|젖꼭지 3차대전|고름
10010107,달시 파켓,Darcy Paquet,배우,원더랜드|범죄도시4|우리의 하루|그녀의 취미생활|물안에서|이어지는 땅|서울의 봄|나의 피투성이 연인|화란|거미집|비공식작전|206: 사라지지 않는|다음 소희|엄마의 땅: 그리샤와 숲의 주인|탑|절해고도|콘크리트 유토피아|소설가의 영화|복지식당|1947 보스톤|인트로덕션|소리꾼|경미의 세계|바람의 언덕|무녀도|박열|내 이름은 오구공|심장소리|엘리펀트|격세지감
20395958,애슐리 브라이언트,Ashley Bryant,배우,나이트톡
20395957,알 무카담,Al Mukadam,배우,나이트톡
20395891,오한결,,배우,양치기
20395934,이창주,Lee Changju,배우,지웅
20367573,김연준,,배우,범죄도시4|화란|헌트|최선의 삶|나는보리
20291607,손준영,,배우,레슨|최선의 삶|카오산 탱고|레슨중|박열|재꽃|꿈의 제인|한 끼|검은돌마을_연애편지|그렇고 그런 사이|모래|연기|인민정무문|[PDFF2023] 장애인미디어|SIFF2022 단편경쟁4|인디포럼2021 신작전 단편 2 : 나와 다른 내 반쪽
20199695,고혜란,,배우,사라진 시간|파랑새
20380111,김나라,KIM NARA,배우,화이트데이: 부서진 결계
20395909,홍성우,hongseongwoo,배우,리바운드
10087259,하종도,Ho Chung Dao,배우,이소룡-들|돌아온 이소룡
20395887,최하진,,배우,사이
20325072,김주아,KIM Joo-ah,배우,문경|성적표의 김민영|욕창|보희와 녹양|거기서 만나|현수막|지상의 천사|보이는 어둠|링링|그녀의 욕조.|선아의 방|변성기
20133476,경규원,KYUNG Gyu-Won,배우,원더랜드|웨딩드레스|트럭
10001901,공유,GONG Yoo,배우,원더랜드|서복|82년생 김지영|부산행:익스텐디드|밀정|부산행|남과 여|용의자|도가니|김종욱 찾기|용이간다|잠복근무|S 다이어리|슈퍼스타 감사용|그녀를 모르면 간첩|동갑내기 과외하기
20374253,조한결,,배우,원더랜드|어쩌면 우린 헤어졌는지 모른다|데시벨|경관의 피|소리꾼|박강아름 결혼하다
20335401,한사명,HAN Sa-myung,배우,원더랜드|싱글 인 서울|앵커|젠틀맨|리멤버|테우리|해치지않아|얼굴없는 보스|메이트|흥부: 글로 세상을 바꾼 자|침묵|택시운전사|용순|유공자|연애담|울보|비치하트애솔|슬로우 비디오|족구왕|18: 우리들의 성장 느와르|렛 미 아웃|세계일주|26년|범죄소년|내가 살인범이다|코리아|부러진 화살|티끌모아 로맨스|퀵|적과의 동침|아저씨|식객2 : 김치전쟁|여기 있다|애도기간|너와 극장에서
20390265,김채은,,배우,원더랜드|신체모음.zip
20371256,김준경,,배우,원더랜드|69세
20368937,정성인,,배우,원더랜드|공조2: 인터내셔날|버티고
